# x1	x2
8.1623	-6.73489
8.16798	-6.73595
8.17364	-6.73701
8.17929	-6.73806
8.18493	-6.73911
8.19056	-6.74015
8.19618	-6.74119
8.20179	-6.74223
8.20739	-6.74326
8.21297	-6.74428
8.21855	-6.74531
8.22411	-6.74633
8.22966	-6.74734
8.2352	-6.74835
8.24073	-6.74936
8.24625	-6.75036
8.25176	-6.75136
8.25725	-6.75235
8.26274	-6.75334
8.26821	-6.75433
8.27368	-6.75531
8.27913	-6.75629
8.28457	-6.75727
8.29	-6.75824
8.29542	-6.75921
8.30083	-6.76017
8.30623	-6.76113
8.31162	-6.76208
8.31699	-6.76303
8.32236	-6.76398
8.32772	-6.76493
8.33306	-6.76587
8.33839	-6.7668
8.34372	-6.76774
8.34903	-6.76867
8.35433	-6.76959
8.35962	-6.77051
8.3649	-6.77143
8.37017	-6.77234
8.37543	-6.77326
8.38068	-6.77416
8.38592	-6.77507
8.39115	-6.77597
8.39637	-6.77686
8.40157	-6.77775
8.40677	-6.77864
8.41196	-6.77953
8.41713	-6.78041
8.4223	-6.78129
8.42746	-6.78216
8.4326	-6.78303
8.43774	-6.7839
8.44286	-6.78477
8.44797	-6.78563
8.45308	-6.78649
8.45817	-6.78734
8.46326	-6.78819
8.46833	-6.78904
8.47339	-6.78988
8.47845	-6.79072
8.48349	-6.79156
8.48852	-6.79239
8.49354	-6.79322
8.49856	-6.79405
8.50356	-6.79487
8.50855	-6.79569
8.51354	-6.79651
8.51851	-6.79733
8.52347	-6.79814
8.52843	-6.79894
8.53337	-6.79975
8.5383	-6.80055
8.54322	-6.80135
8.54814	-6.80214
8.55304	-6.80293
8.55794	-6.80372
8.56282	-6.80451
8.56769	-6.80529
8.57256	-6.80607
8.57741	-6.80684
8.58226	-6.80762
8.58709	-6.80838
8.59192	-6.80915
8.59674	-6.80991
8.60154	-6.81068
8.60634	-6.81143
8.61113	-6.81219
8.61591	-6.81294
8.62067	-6.81369
8.62543	-6.81443
8.63018	-6.81517
8.63492	-6.81591
8.63965	-6.81665
8.64437	-6.81738
8.64908	-6.81811
8.65378	-6.81884
8.65848	-6.81957
8.66316	-6.82029
8.66783	-6.82101
8.6725	-6.82172
8.67715	-6.82244
8.6818	-6.82315
8.68644	-6.82385
8.69106	-6.82456
8.69568	-6.82526
8.70029	-6.82596
8.70489	-6.82665
8.70948	-6.82735
8.71406	-6.82804
8.71863	-6.82873
8.72319	-6.82941
8.72775	-6.83009
8.73229	-6.83077
8.73683	-6.83145
8.74135	-6.83212
8.74587	-6.8328
8.75038	-6.83346
8.75488	-6.83413
8.75937	-6.83479
8.76385	-6.83546
8.76832	-6.83611
8.77279	-6.83677
8.77724	-6.83742
8.78169	-6.83807
8.78612	-6.83872
8.79055	-6.83936
8.79497	-6.84001
8.79938	-6.84065
8.80378	-6.84128
8.80817	-6.84192
8.81256	-6.84255
8.81693	-6.84318
8.8213	-6.84381
8.82566	-6.84443
8.83	-6.84506
8.83434	-6.84568
8.83868	-6.84629
8.843	-6.84691
8.84731	-6.84752
8.85162	-6.84813
8.85591	-6.84874
8.8602	-6.84934
8.86448	-6.84995
8.86875	-6.85055
8.87302	-6.85114
8.87727	-6.85174
8.88151	-6.85233
8.88575	-6.85292
8.88998	-6.85351
8.8942	-6.8541
8.89841	-6.85468
8.90262	-6.85526
8.90681	-6.85584
8.911	-6.85642
8.91517	-6.85699
8.91934	-6.85756
8.92351	-6.85813
8.92766	-6.8587
8.9318	-6.85927
8.93594	-6.85983
8.94007	-6.86039
8.94419	-6.86095
8.9483	-6.8615
8.9524	-6.86206
8.9565	-6.86261
8.96058	-6.86316
8.96466	-6.86371
8.96873	-6.86425
8.9728	-6.8648
8.97685	-6.86534
8.9809	-6.86587
8.98494	-6.86641
8.98897	-6.86695
8.99299	-6.86748
8.997	-6.86801
9.00101	-6.86854
9.00501	-6.86906
9.009	-6.86959
9.01298	-6.87011
9.01695	-6.87063
9.02092	-6.87114
9.02488	-6.87166
9.02883	-6.87217
9.03277	-6.87268
9.0367	-6.87319
9.04063	-6.8737
9.04455	-6.87421
9.04846	-6.87471
9.05236	-6.87521
9.05626	-6.87571
9.06015	-6.87621
9.06402	-6.8767
9.0679	-6.87719
9.07176	-6.87769
9.07562	-6.87818
9.07947	-6.87866
9.08331	-6.87915
9.08714	-6.87963
9.09097	-6.88011
9.09478	-6.88059
9.09859	-6.88107
9.1024	-6.88155
9.10619	-6.88202
9.10998	-6.88249
9.11376	-6.88296
9.11753	-6.88343
9.1213	-6.8839
9.12506	-6.88436
9.12881	-6.88482
9.13255	-6.88528
9.13628	-6.88574
9.14001	-6.8862
9.14373	-6.88665
9.14744	-6.88711
9.15115	-6.88756
9.15485	-6.88801
9.15854	-6.88846
9.16222	-6.8889
9.16589	-6.88935
9.16956	-6.88979
9.17322	-6.89023
9.17688	-6.89067
9.18052	-6.89111
9.18416	-6.89154
9.18779	-6.89198
9.19142	-6.89241
9.19504	-6.89284
9.19865	-6.89327
9.20225	-6.8937
9.20584	-6.89412
9.20943	-6.89454
9.21301	-6.89497
9.21659	-6.89539
9.22015	-6.8958
